County,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM2.5
San Bernardino,2015,Child vs. adult,0-17 years,12.7,(2.7-22.7),16.0675322875817
San Diego,2015,Child vs. adult,0-17 years,11.9,(5.8-18.0),4.272026915068493
San Mateo,2015,Child vs. adult,0-17 years,20.1,(1.5-38.7),5.736798213888889
Santa Clara,2015,Child vs. adult,0-17 years,11.7,(0.6-22.7),7.2943773972602735
Alameda,2015,Child vs. adult,18+ years,13.1,(9.2-17.0),8.756451235616439
Calaveras,2015,Child vs. adult,18+ years,14.7,(7.6-21.7),8.74821102739726
Colusa,2015,Child vs. adult,18+ years,17.0,(8.7-25.2),6.62120518018018
Contra Costa,2015,Child vs. adult,18+ years,19.1,(14.2-24.0),8.641483698630136
Fresno,2015,Child vs. adult,18+ years,15.7,(9.2-22.2),14.261726484931506
Humboldt,2015,Child vs. adult,18+ years,18.8,(7.0-30.5),8.714613568807339
Imperial,2015,Child vs. adult,18+ years,11.9,(7.2-16.6),13.021600957627118
Inyo,2015,Child vs. adult,18+ years,14.7,(7.6-21.7),6.69577442739726
Kern,2015,Child vs. adult,18+ years,19.9,(14.2-25.6),5.045872164305949
Kings,2015,Child vs. adult,18+ years,24.4,(14.5-34.3),16.153711515669517
Madera,2015,Child vs. adult,18+ years,14.3,(6.7-21.8),13.979115011235956
Marin,2015,Child vs. adult,18+ years,11.3,(8.1-14.4),8.92140096583851
Mendocino,2015,Child vs. adult,18+ years,18.0,(10.4-25.6),8.558042604395604
Merced,2015,Child vs. adult,18+ years,17.4,(8.3-26.5),12.983599224852073
Monterey,2015,Child vs. adult,18+ years,12.7,(6.4-19.0),6.303995232876712
Napa,2015,Child vs. adult,18+ years,18.9,(10.5-27.3),10.65357562849162
Placer,2015,Child vs. adult,18+ years,17.0,(9.0-24.9),7.625223539325843
Riverside,2015,Child vs. adult,18+ years,15.2,(10.2-20.1),11.093575002739726
Sacramento,2015,Child vs. adult,18+ years,21.6,(16.3-26.9),8.97409721690141
San Benito,2015,Child vs. adult,18+ years,15.7,(6.4-25.0),4.324325972144846
San Bernardino,2015,Child vs. adult,18+ years,17.1,(13.4-20.9),16.0675322875817
San Diego,2015,Child vs. adult,18+ years,14.7,(12.7-16.6),4.272026915068493
San Francisco,2015,Child vs. adult,18+ years,15.2,(9.4-21.1),7.615420509803921
San Joaquin,2015,Child vs. adult,18+ years,17.8,(11.9-23.8),12.877110868493151
San Luis Obispo,2015,Child vs. adult,18+ years,13.6,(7.7-19.5),8.757536808219179
San Mateo,2015,Child vs. adult,18+ years,17.5,(11.9-23.0),5.736798213888889
Santa Barbara,2015,Child vs. adult,18+ years,11.7,(4.5-18.8),8.749527569863012
Santa Clara,2015,Child vs. adult,18+ years,11.7,(8.3-15.1),7.2943773972602735
Santa Cruz,2015,Child vs. adult,18+ years,20.1,(13.2-27.0),4.89501328531856
Solano,2015,Child vs. adult,18+ years,24.9,(15.2-34.6),9.648196609065156
Sonoma,2015,Child vs. adult,18+ years,17.7,(9.2-26.1),6.691683080924856
Stanislaus,2015,Child vs. adult,18+ years,18.6,(11.9-25.2),10.962983348441924
Ventura,2015,Child vs. adult,18+ years,17.0,(12.1-21.8),8.62871883561644
Alameda,2015,Age groups,5-17 years,24.1,(5.9-42.2),8.756451235616439
Contra Costa,2015,Age groups,5-17 years,34.3,(2.0-66.6),8.641483698630136
Fresno,2015,Age groups,5-17 years,20.5,(3.4-37.6),14.261726484931506
Imperial,2015,Age groups,5-17 years,24.1,(9.0-39.1),13.021600957627118
Kern,2015,Age groups,5-17 years,31.3,(12.1-50.4),5.045872164305949
Kings,2015,Age groups,5-17 years,35.6,(11.8-59.3),16.153711515669517
Riverside,2015,Age groups,5-17 years,20.6,(5.2-36.0),11.093575002739726
Sacramento,2015,Age groups,5-17 years,13.6,(1.0-26.1),8.97409721690141
San Bernardino,2015,Age groups,5-17 years,15.7,(2.6-28.8),16.0675322875817
San Diego,2015,Age groups,5-17 years,15.6,(7.0-24.1),4.272026915068493
San Mateo,2015,Age groups,5-17 years,26.2,(1.7-50.6),5.736798213888889
Santa Cruz,2015,Age groups,5-17 years,32.3,(0.5-64.0),4.89501328531856
Alameda,2015,Age groups,18-64 years,12.9,(8.4-17.3),8.756451235616439
Calaveras,2015,Age groups,18-64 years,12.9,(4.9-20.9),8.74821102739726
Colusa,2015,Age groups,18-64 years,17.7,(7.7-27.8),6.62120518018018
Contra Costa,2015,Age groups,18-64 years,19.4,(12.9-26.0),8.641483698630136
Fresno,2015,Age groups,18-64 years,15.9,(8.4-23.3),14.261726484931506
Humboldt,2015,Age groups,18-64 years,20.5,(5.3-35.8),8.714613568807339
Imperial,2015,Age groups,18-64 years,11.7,(6.6-16.8),13.021600957627118
Inyo,2015,Age groups,18-64 years,12.9,(4.9-20.9),6.69577442739726
Kern,2015,Age groups,18-64 years,20.3,(13.8-26.8),5.045872164305949
Kings,2015,Age groups,18-64 years,25.9,(14.5-37.2),16.153711515669517
Madera,2015,Age groups,18-64 years,13.9,(5.1-22.8),13.979115011235956
Marin,2015,Age groups,18-64 years,10.9,(7.2-14.7),8.92140096583851
Mendocino,2015,Age groups,18-64 years,18.0,(8.9-27.0),8.558042604395604
Merced,2015,Age groups,18-64 years,17.4,(7.5-27.3),12.983599224852073
Monterey,2015,Age groups,18-64 years,9.1,(4.7-13.5),6.303995232876712
Napa,2015,Age groups,18-64 years,22.3,(10.8-33.8),10.65357562849162
Placer,2015,Age groups,18-64 years,18.2,(7.7-28.7),7.625223539325843
Riverside,2015,Age groups,18-64 years,17.0,(10.9-23.0),11.093575002739726
Sacramento,2015,Age groups,18-64 years,22.8,(16.7-29.0),8.97409721690141
San Benito,2015,Age groups,18-64 years,16.2,(5.4-27.1),4.324325972144846
San Bernardino,2015,Age groups,18-64 years,17.6,(12.7-22.5),16.0675322875817
San Diego,2015,Age groups,18-64 years,15.1,(12.7-17.6),4.272026915068493
San Francisco,2015,Age groups,18-64 years,15.8,(8.9-22.7),7.615420509803921
San Joaquin,2015,Age groups,18-64 years,17.8,(11.1-24.6),12.877110868493151
San Luis Obispo,2015,Age groups,18-64 years,12.6,(4.9-20.4),8.757536808219179
San Mateo,2015,Age groups,18-64 years,17.0,(10.5-23.6),5.736798213888889
Santa Barbara,2015,Age groups,18-64 years,11.7,(2.9-20.5),8.749527569863012
Santa Clara,2015,Age groups,18-64 years,11.8,(7.8-15.9),7.2943773972602735
Santa Cruz,2015,Age groups,18-64 years,17.6,(10.2-25.0),4.89501328531856
Solano,2015,Age groups,18-64 years,25.8,(14.3-37.3),9.648196609065156
Sonoma,2015,Age groups,18-64 years,19.8,(9.3-30.3),6.691683080924856
Stanislaus,2015,Age groups,18-64 years,17.3,(9.5-25.1),10.962983348441924
Ventura,2015,Age groups,18-64 years,17.8,(11.8-23.8),8.62871883561644
Alameda,2015,Age groups,65+ years,14.4,(5.8-23.0),8.756451235616439
Calaveras,2015,Age groups,65+ years,19.7,(5.8-33.5),8.74821102739726
Colusa,2015,Age groups,65+ years,15.0,(1.2-28.7),6.62120518018018
Contra Costa,2015,Age groups,65+ years,17.8,(10.5-25.1),8.641483698630136
Fresno,2015,Age groups,65+ years,14.9,(5.8-23.9),14.261726484931506
Humboldt,2015,Age groups,65+ years,13.6,(3.3-23.8),8.714613568807339
Imperial,2015,Age groups,65+ years,12.5,(2.4-22.6),13.021600957627118
Inyo,2015,Age groups,65+ years,19.7,(5.8-33.5),6.69577442739726
Kern,2015,Age groups,65+ years,18.0,(8.5-27.5),5.045872164305949
Kings,2015,Age groups,65+ years,15.0,(2.5-27.5),16.153711515669517
Madera,2015,Age groups,65+ years,15.9,(6.3-25.6),13.979115011235956
Marin,2015,Age groups,65+ years,12.3,(5.9-18.8),8.92140096583851
Mendocino,2015,Age groups,65+ years,18.1,(1.2-35.0),8.558042604395604
Merced,2015,Age groups,65+ years,17.1,(5.6-28.6),12.983599224852073
Placer,2015,Age groups,65+ years,14.1,(6.3-21.8),7.625223539325843
Riverside,2015,Age groups,65+ years,8.6,(4.1-13.2),11.093575002739726
Sacramento,2015,Age groups,65+ years,15.2,(6.3-24.1),8.97409721690141
San Bernardino,2015,Age groups,65+ years,14.3,(5.5-23.1),16.0675322875817
San Diego,2015,Age groups,65+ years,12.6,(8.7-16.5),4.272026915068493
San Francisco,2015,Age groups,65+ years,11.9,(0.8-23.1),7.615420509803921
San Joaquin,2015,Age groups,65+ years,17.8,(6.1-29.5),12.877110868493151
San Luis Obispo,2015,Age groups,65+ years,17.3,(3.4-31.3),8.757536808219179
San Mateo,2015,Age groups,65+ years,19.3,(6.5-32.1),5.736798213888889
Santa Barbara,2015,Age groups,65+ years,11.5,(5.7-17.4),8.749527569863012
Santa Clara,2015,Age groups,65+ years,11.2,(5.3-17.0),7.2943773972602735
Santa Cruz,2015,Age groups,65+ years,30.8,(15.6-46.0),4.89501328531856
Solano,2015,Age groups,65+ years,20.6,(4.4-36.7),9.648196609065156
Sonoma,2015,Age groups,65+ years,9.9,(2.8-16.9),6.691683080924856
Stanislaus,2015,Age groups,65+ years,25.5,(11.1-39.9),10.962983348441924
Ventura,2015,Age groups,65+ years,13.0,(6.5-19.5),8.62871883561644
